ticker,title,asset_class,size,type,location,expense_ratio
VFIAX,500 Index Admiral Shares,Stocks,Large Cap,Blend,US,4.00E-04
VDEQX,Diversified Equity,Stocks,Large Cap,Blend,US,0.0035
VDADX,Dividend Appreciation Index Admiral Shares,Stocks,Large Cap,Blend,US,8.00E-04
VDIGX,Dividend Growth,Stocks,Large Cap,Blend,US,0.0027
VEIPX,Equity Income,Stocks,Large Cap,Value,US,0.0027
VFTAX,FTSE Social Index Admiral Shares,Stocks,Large Cap,Growth,US,0.0014
VQNPX,Growth and Income,Stocks,Large Cap,Blend,US,0.0033
VIGAX,Growth Index Admiral Shares,Stocks,Large Cap,Growth,US,5.00E-04
VHYAX,High Dividend Yield Admiral Index,Stocks,Large Cap,Value,US,8.00E-04
VLCAX,Large-Cap Index Admiral Shares,Stocks,Large Cap,Blend,US,5.00E-04
VTCLX,Tax-Managed Capital Appreciation Admiral Shares,Stocks,Large Cap,Blend,US,9.00E-04
VTSAX,Total Stock Market Index Admiral Shares,Stocks,Large Cap,Blend,US,4.00E-04
VWUSX,US Growth,Stocks,Large Cap,Growth,US,0.0039
VVIAX,Value Index Admiral Shares,Stocks,Large Cap,Value,US,5.00E-04
VWNDX,Windsor,Stocks,Large Cap,Value,US,0.003
VWNFX,Windsor II,Stocks,Large Cap,Value,US,0.0034
VEXAX,Extended Market Index Admiral Shares,Stocks,Mid Cap,Blend,US,6.00E-04
VMGRX,Mid-Cap Growth,Stocks,Mid Cap,Growth,US,0.0036
VMGMX,Mid-Cap Growth Index Admiral Shares,Stocks,Mid Cap,Growth,US,7.00E-04
VIMAX,Mid-Cap Index Admiral Shares,Stocks,Mid Cap,Blend,US,5.00E-04
VMVAX,Mid-Cap Value Index Admiral Shares,Stocks,Mid Cap,Value,US,7.00E-04
VASVX,Selected Value,Stocks,Mid Cap,Value,US,0.0033
VSEQX,Strategic Equity,Stocks,Mid Cap,Blend,US,0.0017
VEXPX,Explorer,Stocks,Small Cap,Growth,US,0.0045
VEVFX,Explorer Value,Stocks,Small Cap,Value,US,0.0055
VSGAX,Small-Cap Growth Index Admiral Shares,Stocks,Small Cap,Growth,US,7.00E-04
VSMAX,Small-Cap Index Admiral Shares,Stocks,Small Cap,Blend,US,5.00E-04
VSIAX,Small-Cap Value Index Admiral Shares,Stocks,Small Cap,Value,US,7.00E-04
VSTCX,Strategic Small-Cap Equity,Stocks,Small Cap,Blend,US,0.0026
VTMSX,Tax-Managed Small-Cap Admiral Shares,Stocks,Small Cap,Blend,US,9.00E-04
VFIIX,GNMA,Bonds,Inter Term,Government,US,0.0021
VIPSX,Inflation Protected Securities,Bonds,Inter Term,Government,US,0.002
VBILX,Intermediate-Term Bond Index Admiral Shares,Bonds,Inter Term,Investment,US,7.00E-04
VFITX,Intermediate-Term Treasury,Bonds,Inter Term,Government,US,0.002
VSIGX,Intermediate-Term Treasury Index Admiral Shares,Bonds,Inter Term,Government,US,7.00E-04
VBLAX,Long Term Bond Index Admiral Shares,Bonds,Long Term,Investment,US,7.00E-04
